Player;Pos;Comp;Shots;PasTotPrgDist;Assists;SCA;Tkl+Int;ToAtt
philippe coutinho;MFFW;Premier League;2.41;110.5;0.0;2.91;2.03;3.8
yan couto;DFMF;La Liga;0.66;178.0;0.13;3.95;3.03;5.0
nicolas cozza;DF;Ligue 1;0.49;223.2;0.07;1.27;4.15;1.06
aaron cresswell;DF;Premier League;0.41;377.8;0.0;3.12;2.0;0.35
bryan cristante;MF;Serie A;0.88;243.9;0.0;1.37;3.97;0.34
juan cruz armada;DF;La Liga;0.07;258.3;0.0;1.79;1.86;0.79
juan cuadrado;DFFW;Serie A;1.53;225.8;0.25;3.73;3.64;1.95
marc cucurella;DF;Premier League;0.4;272.9;0.13;1.54;4.03;0.87
matheus cunha;FW;Premier League;2.57;36.86;0.29;2.57;1.29;2.43
moanes dabbur;FW;Bundesliga;2.33;86.3;0.0;4.17;1.67;2.17
colin dagba;DF;Ligue 1;0.32;217.1;0.0;2.9;4.19;2.9
patson daka;FW;Premier League;2.44;35.3;0.38;2.18;1.41;1.15
thijs dallinga;FW;Ligue 1;2.01;28.7;0.07;1.87;0.6;1.04
diogo dalot;DF;Premier League;0.99;262.9;0.14;2.48;3.83;1.63
flavius daniliuc;DF;Serie A;0.4;320.93;0.08;0.88;3.19;0.24
danilo;DF;Serie A;0.75;362.9;0.1;1.54;3.73;0.7
kevin danso;DF;Ligue 1;0.59;398.7;0.05;1.27;2.14;1.0
dante;DF;Ligue 1;0.5;462.5;0.05;0.59;3.09;0.23
sergi darder;MF;La Liga;1.02;247.3;0.05;4.31;2.64;3.5
achraf dari;DF;Ligue 1;0.4;309.2;0.0;0.5;2.5;0.0
matteo darmian;DF;Serie A;0.27;241.1;0.18;2.55;3.64;1.45
josh dasilva;MF;Premier League;1.17;126.8;0.18;2.88;1.53;3.06
jonathan david;FW;Ligue 1;3.13;64.2;0.21;3.13;0.97;2.21
alphonso davies;DF;Bundesliga;0.52;277.9;0.13;3.55;2.9;5.61
ben davies;DF;Premier League;0.63;277.8;0.06;1.44;1.75;0.56
pawe? dawidowicz;DF;Serie A;0.84;218.7;0.0;0.6;3.61;0.48
craig dawson;DF;Premier League;0.8;287.34;0.0;1.5;1.8;0.1
kevin de bruyne;MF;Premier League;2.64;242.5;0.62;6.52;1.29;1.85
charles de ketelaere;MFFW;Serie A;1.54;110.0;0.13;4.1;1.79;3.85
rodrigo de paul;MF;La Liga;0.82;289.1;0.21;4.02;1.55;1.44
